epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.775,3.35697,4.24417,3.68948,0,0,0,0,5.9743,4.92164,4.43747,0.00047092,0.00047092,0.00047092
2,254.369,1.6142,2.11696,1.90812,0.5894,0.33785,0.33812,0.16337,1.96284,2.7599,1.94529,0.000853476,0.000853476,0.000853476
3,406.755,1.18503,1.45297,1.45834,0.72207,0.42024,0.44828,0.34305,0.97349,1.54807,1.26289,0.00114172,0.00114172,0.00114172
4,577.767,0.9954,1.0907,1.29888,0.71732,0.56225,0.61015,0.48021,0.85043,1.10136,1.16365,0.00100459,0.00100459,0.00100459
5,764.248,0.91044,0.92539,1.22869,0.75562,0.5062,0.55556,0.44781,0.76932,1.04486,1.09323,0.000863116,0.000863116,0.000863116
6,930.066,0.84627,0.81321,1.17924,0.84797,0.71805,0.81417,0.65506,0.79102,0.78106,1.08899,0.000721645,0.000721645,0.000721645
7,1106.61,0.79893,0.71968,1.13777,0.87133,0.78012,0.86003,0.67354,0.7824,0.77046,1.1087,0.000580174,0.000580174,0.000580174
8,1314.03,0.74113,0.66719,1.11432,0.61806,0.20301,0.2447,0.20483,0.85777,1.86487,1.14531,0.000438703,0.000438703,0.000438703
9,1459.99,0.71013,0.61553,1.08505,0.93372,0.94139,0.9728,0.81615,0.62933,0.54197,1.02942,0.000297232,0.000297232,0.000297232
10,1594.36,0.6839,0.58195,1.07357,0.94265,0.95566,0.97835,0.83174,0.61342,0.50846,1.018,0.000155761,0.000155761,0.000155761
