epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1949,3.58967,4.45683,4.37717,0,0,0,0,4.14655,4.49633,4.16788,0.0002625,0.0002625,0.0002625
2,69.0481,3.1398,3.7536,3.89681,0,0,0,0,4.22469,4.60293,4.22852,0.000484288,0.000484288,0.000484288
3,105.179,2.59068,3.13977,3.37322,0,0,0,0,4.30008,4.70908,4.33838,0.000651625,0.000651625,0.000651625
4,146.41,2.22342,2.77557,2.85476,0.00072,0.01723,0.00092,0.00031,4.25732,4.62835,4.30685,0.000764513,0.000764513,0.000764513
5,204.974,1.9898,2.47559,2.45933,0.00584,0.13576,0.0172,0.00422,3.57997,3.58766,3.5274,0.000755,0.000755,0.000755
6,269.235,1.82873,2.27462,2.30551,0.02415,0.24663,0.03669,0.01576,2.59241,3.16133,2.83139,0.00063125,0.00063125,0.00063125
7,325.278,1.72697,2.15655,2.15115,0.25924,0.11818,0.1109,0.06097,1.88663,2.62833,2.28044,0.0005075,0.0005075,0.0005075
8,383.54,1.62845,2.05603,2.03327,0.30679,0.16302,0.14521,0.09605,1.67978,2.51767,2.10752,0.00038375,0.00038375,0.00038375
9,437.548,1.55583,1.97915,1.94683,0.32941,0.3217,0.24707,0.1621,1.46674,1.88575,1.89152,0.00026,0.00026,0.00026
10,498.409,1.48409,1.93927,1.92483,0.32953,0.19416,0.16218,0.11197,1.45419,2.11965,1.89326,0.00013625,0.00013625,0.00013625
