epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.068,1.15941,1.88115,1.70036,0.5184,0.67235,0.62086,0.46661,0.98343,1.4391,1.56807,0.000407197,0.000407197,0.000407197
2,173.255,1.05791,1.36126,1.5751,0.72515,0.67896,0.74578,0.54549,1.03234,1.23074,1.48685,0.000742301,0.000742301,0.000742301
3,258.359,1.00597,1.24245,1.49788,0.75902,0.72425,0.80629,0.61103,0.94474,1.1135,1.39869,0.000994905,0.000994905,0.000994905
4,391.939,0.96413,1.14992,1.4402,0.69569,0.6063,0.62812,0.48224,0.86946,1.13206,1.33733,0.00087875,0.00087875,0.00087875
5,523.863,0.94009,1.0863,1.38097,0.73499,0.64174,0.67822,0.51398,0.90343,1.00999,1.33235,0.000755,0.000755,0.000755
6,685.549,0.92149,1.04018,1.37588,0.6567,0.24791,0.26012,0.20118,0.8683,1.01055,1.3223,0.00063125,0.00063125,0.00063125
7,843.413,0.90929,1.01339,1.34838,0.67591,0.38144,0.3916,0.29938,0.86968,0.99856,1.30512,0.0005075,0.0005075,0.0005075
8,994.856,0.90012,0.98542,1.32786,0.68966,0.23557,0.25316,0.19612,0.87167,0.97514,1.30644,0.00038375,0.00038375,0.00038375
9,1159.07,0.87998,0.95864,1.30944,0.6948,0.26059,0.28646,0.22555,0.82642,0.92168,1.28455,0.00026,0.00026,0.00026
10,1321.91,0.86851,0.93783,1.30418,0.7096,0.26499,0.29402,0.23106,0.83025,0.89357,1.28211,0.00013625,0.00013625,0.00013625
