epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6056,3.42479,4.15939,4.17415,0,0,0,0,4.19108,4.59452,4.21916,0.000407197,0.000407197,0.000407197
2,148.435,2.47169,2.99827,3.15825,0.00056,0.01323,0.00028,8e-05,4.12896,4.54687,4.21454,0.000742301,0.000742301,0.000742301
3,264.531,1.93242,2.40141,2.40134,0.30426,0.13214,0.13811,0.0654,2.12752,2.59522,2.45545,0.000994905,0.000994905,0.000994905
4,389.992,1.65076,2.10426,2.0714,0.27028,0.27424,0.16709,0.1081,1.54506,2.1213,1.93971,0.00087875,0.00087875,0.00087875
5,512.726,1.47428,1.89611,1.84254,0.316,0.26011,0.20217,0.13248,1.3601,1.84235,1.76098,0.000755,0.000755,0.000755
6,644.954,1.34571,1.74372,1.73456,0.44288,0.20346,0.16813,0.11447,1.24879,1.76648,1.6188,0.00063125,0.00063125,0.00063125
7,783.288,1.23131,1.61804,1.60755,0.47104,0.32052,0.29352,0.21172,1.10608,1.51243,1.50905,0.0005075,0.0005075,0.0005075
8,915.375,1.15378,1.50769,1.53579,0.46313,0.23568,0.21574,0.15256,1.13187,1.54167,1.48822,0.00038375,0.00038375,0.00038375
9,1045.13,1.10163,1.40169,1.48883,0.53591,0.27299,0.27036,0.19147,1.13925,1.62552,1.49628,0.00026,0.00026,0.00026
10,1202.89,1.06536,1.33926,1.4592,0.51409,0.29983,0.28451,0.21032,1.01484,1.32159,1.41516,0.00013625,0.00013625,0.00013625
