epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.354,2.89337,542.111,3.79097,0.00542,0.00045,0.00027,8e-05,2.57704,248.963,3.16178,0.000411932,0.000411932,0.000411932
2,272.543,1.45934,258.02,2.22737,0.19041,0.13801,0.18174,0.15372,1.09193,105.492,1.68019,0.000746567,0.000746567,0.000746567
3,426.459,1.14227,161.594,1.69358,0.04406,0.13075,0.04786,0.0149,1.57538,108.543,2.27699,0.000998703,0.000998703,0.000998703
4,569.916,0.89973,102.517,1.41245,0.22465,0.49083,0.26727,0.20243,0.78952,49.7824,1.3189,0.00087875,0.00087875,0.00087875
5,712.18,0.81403,69.1149,1.29612,0.27614,0.74351,0.31283,0.24115,0.7149,35.411,1.19857,0.000755,0.000755,0.000755
6,858.07,0.76177,48.5945,1.22575,0.2572,0.81113,0.39448,0.32439,0.68156,25.3935,1.13645,0.00063125,0.00063125,0.00063125
7,1005.18,0.7274,35.9656,1.17861,0.25142,0.86163,0.47081,0.39987,0.67647,19.6616,1.1111,0.0005075,0.0005075,0.0005075
8,1157.82,0.69848,27.9667,1.15039,0.57843,0.50548,0.52429,0.44269,0.65377,15.9353,1.09465,0.00038375,0.00038375,0.00038375
9,1312.29,0.68294,23.3968,1.12627,0.63922,0.57641,0.61721,0.52115,0.62349,14.1002,1.06068,0.00026,0.00026,0.00026
10,1462.63,0.6874,20.92,1.12471,0.65417,0.75875,0.6597,0.54806,0.62366,13.0007,1.06194,0.00013625,0.00013625,0.00013625
