epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.032,1.11965,1.6769,1.65881,0.69717,0.71045,0.77086,0.5702,1.0175,1.25221,1.53549,0.000411932,0.000411932,0.000411932
2,356.212,1.00381,1.20162,1.48667,0.77474,0.75345,0.83239,0.62195,0.96473,1.07074,1.36725,0.000746567,0.000746567,0.000746567
3,620.04,0.96179,1.08006,1.39078,0.737,0.52723,0.57962,0.43792,0.8911,1.02643,1.32342,0.000998703,0.000998703,0.000998703
4,925.206,0.93137,1.01832,1.36,0.64522,0.25099,0.27344,0.21167,0.84838,0.94051,1.29869,0.00087875,0.00087875,0.00087875
5,1232.46,0.89422,0.95675,1.32373,0.71779,0.3114,0.35229,0.27334,0.85661,0.90246,1.28322,0.000755,0.000755,0.000755
6,1554.29,0.8793,0.91866,1.29452,0.73838,0.5069,0.56074,0.43938,0.8326,0.86734,1.26066,0.00063125,0.00063125,0.00063125
7,1861.27,0.8602,0.87931,1.2761,0.80807,0.66166,0.74606,0.59364,0.7919,0.8287,1.23922,0.0005075,0.0005075,0.0005075
8,2104.81,0.83835,0.84563,1.25992,0.82609,0.77497,0.86043,0.68075,0.78554,0.80443,1.22605,0.00038375,0.00038375,0.00038375
9,2338.15,0.83507,0.83307,1.25056,0.82631,0.79055,0.87235,0.68945,0.78813,0.78131,1.22196,0.00026,0.00026,0.00026
10,2566.97,0.82052,0.81429,1.23927,0.8096,0.79091,0.86289,0.68526,0.77238,0.77942,1.21834,0.00013625,0.00013625,0.00013625
