epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9784,2.92278,671.682,4.18256,0.01224,0.21679,0.01313,0.0024,3.39604,341.275,3.70865,0.0002625,0.0002625,0.0002625
2,76.9383,2.19329,458.326,3.30434,0.00938,0.30399,0.00678,0.00258,2.85541,342.049,3.4639,0.000484288,0.000484288,0.000484288
3,115.011,2.39034,426.8,3.28154,0.00759,0.02182,0.00151,0.00034,2.9271,221.259,3.3537,0.000651625,0.000651625,0.000651625
4,154.544,2.30527,390.603,2.95643,0.0081,0.00091,0.00025,8e-05,2.45756,189.484,2.84525,0.000764513,0.000764513,0.000764513
5,192.564,2.13184,364.219,2.62649,5e-05,0.0018,2e-05,0,2.12122,176.855,2.56193,0.000755,0.000755,0.000755
6,242.77,1.94238,299.386,2.50399,0.00152,0.07305,0.00112,0.00024,2.42279,247.915,2.99373,0.00063125,0.00063125,0.00063125
7,289.385,1.8572,281.055,2.35401,0.00155,0.06395,0.00079,0.00029,2.66401,294.34,2.96403,0.0005075,0.0005075,0.0005075
8,330.039,1.75146,258.943,2.2036,0.09304,0.01006,0.00565,0.0022,1.62556,142.09,2.10351,0.00038375,0.00038375,0.00038375
9,372.757,1.65894,241.745,2.08622,0.00171,0.07708,0.00275,0.00106,1.53224,131.594,1.99355,0.00026,0.00026,0.00026
10,412.381,1.61019,227.118,2.07643,0.00211,0.09739,0.00252,0.00133,1.46986,127.237,1.93445,0.00013625,0.00013625,0.00013625
